"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1064";"BTCUSD";"Comprar";"2024.03.10 15:15:00";"69251.20";"0.10000";"2024.03.10 15:30:00";"69251.20";"0.00";"18802.94";"IST";"MoveSL2BE";"0.00";"12.28";"15m 0s";""
"1066";"BTCUSD";"Comprar";"2024.03.11 13:45:00";"71895.50";"0.10000";"2024.03.11 13:45:00";"71392.23";"-50.33";"18794.68";"IST";"SL";"-50.33";"2.49";"0s";""
"1067";"BTCUSD";"Comprar";"2024.03.11 14:00:00";"71895.50";"0.10000";"2024.03.11 14:30:00";"71895.50";"0.00";"18794.68";"IST";"MoveSL2BE";"0.00";"44.07";"30m 0s";""
"1068";"BTCUSD";"Comprar";"2024.03.11 14:45:00";"71976.10";"0.10000";"2024.03.11 16:00:00";"71976.10";"0.00";"18794.68";"IST";"MoveSL2BE";"0.00";"70.02";"1h 15m";""
"1069";"BTCUSD";"Comprar";"2024.03.11 17:15:00";"72327.50";"0.10000";"2024.03.11 18:00:00";"72327.50";"0.00";"18794.68";"IST";"MoveSL2BE";"-4.40";"22.80";"45m 0s";""
"291";"BTCUSD";"Comprar";"2024.03.12 08:15:00";"71772.79";"0.10000";"2024.03.12 14:15:00";"71746.20";"-2.66";"18691.34";"IST";"Exit After X Bars";"-40.96";"118.28";"6h 0m";""
"1073";"BTCUSD";"Vender";"2024.03.12 10:00:00";"71790.40";"0.10000";"2024.03.12 10:15:00";"71790.40";"0.00";"18794.68";"IST";"MoveSL2BE";"0.00";"2.60";"15m 0s";""
"1074";"BTCUSD";"Vender";"2024.03.12 10:45:00";"71804.50";"0.10000";"2024.03.12 11:15:00";"72307.13";"-50.26";"18744.42";"IST";"SL";"-50.26";"1.90";"30m 0s";""
"1075";"BTCUSD";"Comprar";"2024.03.12 12:00:00";"72023.40";"0.10000";"2024.03.12 12:30:00";"71519.24";"-50.42";"18694.00";"IST";"SL";"-50.42";"9.10";"30m 0s";""
"1076";"BTCUSD";"Vender";"2024.03.12 14:00:00";"72183.80";"0.10000";"2024.03.12 14:30:00";"72183.80";"0.00";"18691.34";"IST";"MoveSL2BE";"0.00";"57.72";"30m 0s";""
"1077";"BTCUSD";"Comprar";"2024.03.13 09:45:00";"73379.50";"0.10000";"2024.03.13 11:15:00";"73379.50";"0.00";"18691.34";"IST";"MoveSL2BE";"-28.37";"4.81";"1h 30m";""
"1078";"BTCUSD";"Comprar";"2024.03.13 11:45:00";"73209.80";"0.10000";"2024.03.13 12:30:00";"72697.33";"-51.25";"18640.09";"IST";"SL";"-51.25";"2.99";"45m 0s";""
"1084";"BTCUSD";"Comprar";"2024.03.13 14:00:00";"72645.90";"0.10000";"2024.03.13 14:15:00";"72645.90";"0.00";"18640.09";"IST";"MoveSL2BE";"0.00";"24.58";"15m 0s";""
"1085";"BTCUSD";"Comprar";"2024.03.13 14:30:00";"72631.30";"0.10000";"2024.03.13 15:30:00";"72631.30";"0.00";"18640.09";"IST";"MoveSL2BE";"-46.59";"44.81";"1h 0m";""
"1086";"BTCUSD";"Comprar";"2024.03.14 08:15:00";"73384.10";"0.10000";"2024.03.14 08:30:00";"73384.10";"0.00";"18640.09";"IST";"MoveSL2BE";"0.00";"16.89";"15m 0s";""
"292";"BTCUSD";"Vender";"2024.03.14 08:30:00";"73374.38";"0.10000";"2024.03.14 14:30:00";"72149.44";"122.49";"18762.59";"IST";"Exit After X Bars";"-10.64";"197.97";"6h 0m";""
"1087";"BTCUSD";"Comprar";"2024.03.14 09:00:00";"73347.10";"0.10000";"2024.03.14 09:15:00";"73347.10";"0.00";"18640.09";"IST";"MoveSL2BE";"0.00";"13.35";"15m 0s";""
"1090";"BTCUSD";"Vender";"2024.03.14 17:15:00";"70648.90";"0.10000";"2024.03.14 18:15:00";"70648.90";"0.00";"18762.59";"IST";"MoveSL2BE";"-47.15";"18.34";"1h 0m";""
"1095";"BTCUSD";"Vender";"2024.03.15 10:45:00";"67214.20";"0.10000";"2024.03.15 11:00:00";"67214.20";"0.00";"18762.59";"IST";"MoveSL2BE";"0.00";"3.19";"15m 0s";""
"1099";"BTCUSD";"Comprar";"2024.03.15 13:30:00";"67737.20";"0.10000";"2024.03.15 16:00:00";"67737.20";"0.00";"18762.59";"IST";"MoveSL2BE";"0.00";"95.06";"2h 30m";""
"1100";"BTCUSD";"Comprar";"2024.03.15 16:30:00";"68271.30";"0.10000";"2024.03.15 16:45:00";"68271.30";"0.00";"18762.59";"IST";"MoveSL2BE";"0.00";"10.29";"15m 0s";""
"1101";"BTCUSD";"Comprar";"2024.03.15 17:15:00";"68151.70";"0.10000";"2024.03.15 18:45:00";"70128.10";"197.64";"18960.23";"IST";"PT";"-15.53";"197.64";"1h 30m";""
"1102";"BTCUSD";"Comprar";"2024.03.16 08:30:00";"69228.40";"0.10000";"2024.03.16 10:00:00";"68743.80";"-48.46";"18911.77";"IST";"SL";"-48.46";"1.48";"1h 30m";""
"297";"BTCUSD";"Vender";"2024.03.16 08:45:00";"69110.70";"0.10000";"2024.03.16 14:45:00";"67944.04";"116.67";"19028.44";"IST";"Exit After X Bars";"0.00";"162.45";"6h 0m";""
"1108";"BTCUSD";"Vender";"2024.03.16 15:00:00";"67973.20";"0.10000";"2024.03.16 15:15:00";"67973.20";"0.00";"19028.44";"IST";"MoveSL2BE";"0.00";"17.22";"15m 0s";""
"1109";"BTCUSD";"Vender";"2024.03.16 15:30:00";"67973.20";"0.10000";"2024.03.16 17:30:00";"67973.20";"0.00";"19028.44";"IST";"MoveSL2BE";"-46.77";"21.43";"2h 0m";""
"1110";"BTCUSD";"Vender";"2024.03.17 08:15:00";"65275.50";"0.10000";"2024.03.17 08:30:00";"65732.43";"-45.69";"18982.74";"IST";"SL";"-45.69";"4.55";"15m 0s";""
"1112";"BTCUSD";"Comprar";"2024.03.17 09:45:00";"66433.00";"0.10000";"2024.03.17 12:45:00";"66433.00";"0.00";"18982.74";"IST";"MoveSL2BE";"-11.72";"91.48";"3h 0m";""
"299";"BTCUSD";"Vender";"2024.03.17 12:45:00";"66566.91";"0.10000";"2024.03.17 13:00:00";"67032.88";"-46.60";"18936.14";"IST";"SL";"-46.60";"20.40";"15m 0s";""
"1113";"BTCUSD";"Comprar";"2024.03.17 13:00:00";"66869.60";"0.10000";"2024.03.17 13:15:00";"66869.60";"0.00";"18936.14";"IST";"MoveSL2BE";"0.00";"51.22";"15m 0s";""
"300";"BTCUSD";"Vender";"2024.03.17 13:15:00";"66841.91";"0.10000";"2024.03.17 14:30:00";"67309.80";"-46.79";"18889.36";"IST";"SL";"-46.79";"5.86";"1h 15m";""
"1115";"BTCUSD";"Vender";"2024.03.18 09:00:00";"67818.40";"0.10000";"2024.03.18 09:15:00";"67818.40";"0.00";"18889.36";"IST";"MoveSL2BE";"0.00";"21.10";"15m 0s";""
"1117";"BTCUSD";"Vender";"2024.03.18 09:45:00";"67818.40";"0.10000";"2024.03.18 10:00:00";"67818.40";"0.00";"18889.36";"IST";"MoveSL2BE";"0.00";"9.38";"15m 0s";""
"1120";"BTCUSD";"Comprar";"2024.03.18 12:15:00";"68244.20";"0.10000";"2024.03.18 12:30:00";"68244.20";"0.00";"18889.36";"IST";"MoveSL2BE";"0.00";"18.17";"15m 0s";""
"1121";"BTCUSD";"Comprar";"2024.03.18 13:30:00";"68228.20";"0.10000";"2024.03.18 13:30:00";"67750.60";"-47.76";"18841.60";"IST";"SL";"-47.76";"28.55";"0s";""
"1122";"BTCUSD";"Vender";"2024.03.19 10:00:00";"63690.80";"0.10000";"2024.03.19 12:30:00";"63690.80";"0.00";"18841.60";"IST";"MoveSL2BE";"0.00";"124.43";"2h 30m";""
"1124";"BTCUSD";"Comprar";"2024.03.19 13:15:00";"63405.70";"0.10000";"2024.03.19 13:30:00";"63405.70";"0.00";"18841.60";"IST";"MoveSL2BE";"0.00";"40.04";"15m 0s";""
"1125";"BTCUSD";"Comprar";"2024.03.19 13:45:00";"63405.70";"0.10000";"2024.03.19 14:00:00";"63405.70";"0.00";"18841.60";"IST";"MoveSL2BE";"0.00";"14.62";"15m 0s";""
"309";"BTCUSD";"Comprar";"2024.03.19 15:30:00";"63828.97";"0.10000";"2024.03.19 17:15:00";"65680.01";"185.10";"19026.70";"IST";"PT";"-23.11";"185.10";"1h 45m";""
"1127";"BTCUSD";"Comprar";"2024.03.20 08:45:00";"62787.50";"0.10000";"2024.03.20 15:45:00";"63491.10";"70.36";"19097.06";"IST";"Exit After X Bars";"-19.45";"156.31";"7h 0m";""
"1131";"BTCUSD";"Comprar";"2024.03.20 17:00:00";"63487.50";"0.10000";"2024.03.20 18:45:00";"65328.64";"184.11";"19281.17";"IST";"PT";"0.00";"184.11";"1h 45m";""
"1132";"BTCUSD";"Comprar";"2024.03.21 08:00:00";"67064.70";"0.10000";"2024.03.21 09:00:00";"67064.70";"0.00";"19281.17";"IST";"MoveSL2BE";"0.00";"55.30";"1h 0m";""
"1135";"BTCUSD";"Vender";"2024.03.21 10:15:00";"66867.40";"0.10000";"2024.03.21 10:30:00";"66867.40";"0.00";"19281.17";"IST";"MoveSL2BE";"0.00";"12.57";"15m 0s";""
"1136";"BTCUSD";"Vender";"2024.03.21 11:00:00";"66867.40";"0.10000";"2024.03.21 11:30:00";"66867.40";"0.00";"19281.17";"IST";"MoveSL2BE";"-22.28";"16.49";"30m 0s";""
"314";"BTCUSD";"Comprar";"2024.03.21 17:30:00";"66318.77";"0.10000";"2024.03.21 17:45:00";"65854.54";"-46.42";"19234.75";"IST";"SL";"-46.42";"4.52";"15m 0s";""
"1139";"BTCUSD";"Comprar";"2024.03.22 08:15:00";"66290.90";"0.10000";"2024.03.22 08:45:00";"65826.86";"-46.40";"19188.35";"IST";"SL";"-46.40";"2.74";"30m 0s";""
"1149";"BTCUSD";"Vender";"2024.03.22 17:15:00";"63374.70";"0.10000";"2024.03.22 18:00:00";"63818.32";"-44.36";"19143.98";"IST";"SL";"-44.36";"7.17";"45m 0s";""
"1150";"BTCUSD";"Comprar";"2024.03.23 09:00:00";"64518.20";"0.10000";"2024.03.23 11:30:00";"64518.20";"0.00";"19143.98";"IST";"MoveSL2BE";"-36.12";"14.83";"2h 30m";""
"1155";"BTCUSD";"Comprar";"2024.03.23 14:15:00";"64655.40";"0.10000";"2024.03.23 20:00:00";"64655.40";"0.00";"19143.98";"IST";"MoveSL2BE";"0.00";"130.31";"5h 45m";""
"1156";"BTCUSD";"Comprar";"2024.03.24 09:30:00";"64893.40";"0.10000";"2024.03.24 16:30:00";"65512.00";"61.86";"19205.84";"IST";"Exit After X Bars";"-8.84";"97.72";"7h 0m";""
"1157";"BTCUSD";"Comprar";"2024.03.24 16:30:00";"65546.80";"0.10000";"2024.03.24 16:45:00";"65546.80";"0.00";"19205.84";"IST";"MoveSL2BE";"0.00";"6.92";"15m 0s";""
"327";"BTCUSD";"Vender";"2024.03.24 17:45:00";"65319.95";"0.10000";"2024.03.24 18:30:00";"65777.19";"-45.72";"19160.12";"IST";"SL";"-45.72";"6.48";"45m 0s";""
"1161";"BTCUSD";"Comprar";"2024.03.24 17:45:00";"65458.90";"0.10000";"2024.03.24 23:00:00";"67357.21";"189.83";"19349.95";"IST";"PT";"-20.39";"189.83";"5h 15m";""
"1162";"BTCUSD";"Comprar";"2024.03.25 08:00:00";"67081.60";"0.10000";"2024.03.25 10:15:00";"67081.60";"0.00";"19349.95";"IST";"MoveSL2BE";"-34.24";"24.36";"2h 15m";""
"1166";"BTCUSD";"Comprar";"2024.03.25 12:00:00";"66947.20";"0.10000";"2024.03.25 12:45:00";"66947.20";"0.00";"19349.95";"IST";"MoveSL2BE";"0.00";"30.05";"45m 0s";""
